;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INSTNR;GRADE;TYPE;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;
280397;4. klassetrin;<uoplyst>;;;;;;;;5;;;;;;
280458;4. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
280462;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280597;4. klassetrin;<uoplyst>;;;;;;;;;7;27;;;;
280617;4. klassetrin;<uoplyst>;;;;;;;6;;;;;;;
280705;4. klassetrin;<uoplyst>;;;;;;;;14;;;6;;;
280805;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280980;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281437;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281607;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281618;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
329005;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
329013;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
333004;4. klassetrin;<uoplyst>;;;;;;;6;;;;;;;
400009;4. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
400014;4. klassetrin;<uoplyst>;;;;;;;6;9;;;;;;
461042;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
482002;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
503006;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
617002;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
661002;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
661012;4. klassetrin;<uoplyst>;;;;;;;;;;;;;7;
751023;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
765001;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
779007;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
781006;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
791006;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
791013;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
809001;4. klassetrin;<uoplyst>;;;;;;;5;5;7;6;;6;;
827005;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
851055;4. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101015;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101047;5. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
101055;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101089;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101152;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101621;5. klassetrin;<uoplyst>;;;;;;;5;;;;;;;
147008;5. klassetrin;<uoplyst>;;;;;;;8;;;;;;;
147012;5. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
147019;5. klassetrin;<uoplyst>;;;;;;;9;5;8;;;;;
157005;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
157018;5. klassetrin;<uoplyst>;8;;;9;5;8;15;11;11;;;;;
157041;5. klassetrin;<uoplyst>;12;;6;11;;;20;10;6;;;;;
159004;5. klassetrin;<uoplyst>;;;;;;;;;;;;12;;
169008;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
169013;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
175007;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
201001;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
227008;5. klassetrin;<uoplyst>;;;;;;;5;;;;;;;
253001;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
257001;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
259011;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
265019;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280093;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280120;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280164;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280205;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280241;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280325;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280346;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280361;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280397;5. klassetrin;<uoplyst>;;;;;;;;;7;;;;;
280406;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280597;5. klassetrin;<uoplyst>;;;;;;;;;7;;;;;
280617;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280705;5. klassetrin;<uoplyst>;;;;;;;;11;9;;11;;;
281607;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281613;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281618;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
329005;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
400009;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
561035;5. klassetrin;<uoplyst>;;;5;;;;;;;;;;;
617002;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
657018;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
661002;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
705003;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
743011;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
751023;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
765001;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
779007;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
791005;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
809001;5. klassetrin;<uoplyst>;;;;;;;;;7;;;;;
827005;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
851026;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
851055;5. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101015;6. klassetrin;<uoplyst>;;;5;;;;;;;;;;;
101047;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101055;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101089;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101138;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101151;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101152;6. klassetrin;<uoplyst>;5;;;;;;;;;;;;;
101572;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101621;6. klassetrin;<uoplyst>;;;;;;;9;;;5;;;;
147019;6. klassetrin;<uoplyst>;;;;;;;15;5;10;5;;;;
157005;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
157012;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
157018;6. klassetrin;<uoplyst>;;;;;8;5;11;13;13;;;;;
157041;6. klassetrin;<uoplyst>;16;;;7;13;7;20;12;9;;;;;
169013;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
183003;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
201001;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
257001;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
259011;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280205;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280325;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280331;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280346;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280407;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280618;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280705;6. klassetrin;<uoplyst>;;;;;;;;;8;;8;;;
281437;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281613;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281618;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
333004;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
343002;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
400009;6. klassetrin;<uoplyst>;;;;;;;;;;14;;;;
400014;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
421009;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
461064;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
481001;6. klassetrin;<uoplyst>;;;;;;18;15;12;;;;;;
487002;6. klassetrin;<uoplyst>;;;;;;9;11;15;14;;;;;
503006;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
537007;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
617002;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
751023;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
765001;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
791008;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
791210;6. klassetrin;<uoplyst>;;;;;;;;;5;;;;;
809001;6. klassetrin;<uoplyst>;;;;;;7;;;6;;;;;
851026;6. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101015;7. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101021;7. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101047;7. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101062;7. klassetrin;<uoplyst>;;;;;;;;5;12;;;;;
101089;7. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101152;7. klassetrin;<uoplyst>;;;;;;;5;;;;;;;
101621;7. klassetrin;<uoplyst>;;;;;;6;8;;;;;;;
147019;7. klassetrin;<uoplyst>;11;;;;5;;8;6;6;;;;;
157001;7. klassetrin;<uoplyst>;;;;;;;;;;;;;;
157005;7. klassetrin;<uoplyst>;;;;;;;;;;;;;;
